z,"Psi(0, z)","Psi(1, z)","Psi(2, z)","Psi(3, z)","Psi(4, z)","Psi(5, z)","Psi(6, z)","Psi(7, z)","E(z)"
-3.04,0.00739477,-0.0317917,0.0914177,-0.200955,0.352803,-0.498583,0.553021,-0.437033,4.6208
-3.03,0.00762264,-0.0326635,0.0935805,-0.204847,0.357848,-0.502539,0.552457,-0.429501,4.59045
-3.02,0.00785675,-0.0335556,0.0957823,-0.208784,0.3629,-0.506403,0.551682,-0.421719,4.5602
-3.01,0.00809724,-0.0344682,0.0980236,-0.212765,0.367956,-0.510172,0.550693,-0.41369,4.53005
-3,0.00834425,-0.0354017,0.100305,-0.21679,0.373015,-0.513843,0.549487,-0.405414,4.5
-2.99,0.00859794,-0.0363564,0.102626,-0.220858,0.378073,-0.51741,0.548062,-0.396895,4.47005
-2.98,0.00885846,-0.0373327,0.104988,-0.22497,0.383129,-0.520871,0.546413,-0.388136,4.4402
-2.97,0.00912596,-0.038331,0.10739,-0.229123,0.38818,-0.524222,0.54454,-0.37914,4.41045
-2.96,0.00940059,-0.0393516,0.109833,-0.233318,0.393225,-0.527458,0.542439,-0.369909,4.3808
-2.95,0.00968253,-0.0403948,0.112318,-0.237555,0.39826,-0.530576,0.540108,-0.360447,4.35125
-2.94,0.00997192,-0.0414611,0.114844,-0.241831,0.403283,-0.533572,0.537545,-0.350758,4.3218
-2.93,0.0102689,-0.0425508,0.117413,-0.246148,0.408292,-0.536443,0.534748,-0.340847,4.29245
-2.92,0.0105737,-0.0436643,0.120023,-0.250503,0.413284,-0.539184,0.531715,-0.330717,4.2632
-2.91,0.0108865,-0.0448019,0.122675,-0.254897,0.418257,-0.541792,0.528444,-0.320372,4.23405
-2.9,0.0112074,-0.0459639,0.125371,-0.259328,0.423207,-0.544262,0.524934,-0.309819,4.205
-2.89,0.0115366,-0.0471509,0.128108,-0.263796,0.428132,-0.546592,0.521182,-0.299061,4.17605
-2.88,0.0118743,-0.0483631,0.130889,-0.268299,0.433029,-0.548776,0.517189,-0.288105,4.1472
-2.87,0.0122206,-0.0496009,0.133713,-0.272837,0.437896,-0.550813,0.512952,-0.276955,4.11845
-2.86,0.0125758,-0.0508646,0.13658,-0.277409,0.442729,-0.552697,0.50847,-0.265618,4.0898
-2.85,0.01294,-0.0521548,0.139491,-0.282014,0.447527,-0.554425,0.503744,-0.2541,4.06125
-2.84,0.0133134,-0.0534716,0.142445,-0.28665,0.452284,-0.555994,0.498772,-0.242407,4.0328
-2.83,0.0136963,-0.0548155,0.145443,-0.291317,0.457,-0.557399,0.493554,-0.230546,4.00445
